,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
464,Grant Williams,PF,21,BOS,17,0,244,12,49,.245,0,21,.000,12,28,.429,.245,12,15,.800,12,26,38,14,8,12,14,29,36
465,Kenrich Williams,PF,25,NOP,19,11,470,39,91,.429,20,57,.351,19,34,.559,.538,8,19,.421,33,80,113,34,18,14,15,52,106
466,Lou Williams,SG,33,LAC,20,3,640,139,328,.424,37,101,.366,102,227,.449,.480,119,141,.844,12,58,70,124,12,3,63,31,434
467,Marvin Williams,PF,33,CHO,21,0,412,56,114,.491,28,69,.406,28,45,.622,.614,15,18,.833,10,48,58,19,13,6,13,37,155
468,Robert Williams,C,22,BOS,16,1,230,31,42,.738,0,0,,31,42,.738,.738,6,11,.545,18,54,72,21,16,18,14,28,68
469,Nigel Williams-Goss,PG,25,UTA,4,0,8,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,1,0,0,1,1,0
470,D.J. Wilson,PF,23,MIL,8,0,78,12,29,.414,6,22,.273,6,7,.857,.517,0,0,,3,11,14,8,0,1,4,5,30
471,Justise Winslow,SF,23,MIA,7,5,241,35,88,.398,3,15,.200,32,73,.438,.415,14,21,.667,11,39,50,32,7,3,19,25,87
472,Christian Wood,PF,24,DET,17,0,242,49,84,.583,11,24,.458,38,60,.633,.649,25,38,.658,18,53,71,6,5,17,12,13,134
473,Delon Wright,SG,27,DAL,18,2,393,52,107,.486,9,28,.321,43,79,.544,.528,26,32,.813,15,48,63,56,20,6,14,21,139
474,Thaddeus Young,PF,31,CHI,20,0,429,70,174,.402,22,68,.324,48,106,.453,.466,15,27,.556,36,55,91,33,21,6,32,34,177
475,Trae Young,PG,21,ATL,19,19,655,176,388,.454,65,168,.387,111,220,.505,.537,123,144,.854,9,71,80,159,27,1,93,22,540
476,Cody Zeller,C,27,CHO,18,17,437,79,153,.516,12,33,.364,67,120,.558,.556,31,48,.646,55,88,143,22,9,6,26,44,201
477,Ante Žižić,C,23,CLE,5,0,67,10,18,.556,0,0,,10,18,.556,.556,4,5,.800,5,10,15,0,1,1,1,8,24
478,Ivica Zubac,C,22,LAC,20,18,323,67,110,.609,0,1,.000,67,109,.615,.609,37,46,.804,48,86,134,17,4,22,16,49,171
